取引先ID,事業,会社名,業種,都道府県,市区町村,住所,決裁者役職,決裁者氏名,電話,メール,LINE,Instagram,X,URL,紹介元,ステージ,優先度,連絡NG,反社チェック日,リスト出所,取込日,最終接触日,次アクション,次アクション期限,メモ,重複キー
C000017,清掃,服部ライフサポート株式会社,管理会社,大阪府,豊中市,豊中市服部寿町2丁目17番20号,,,,,,,,,,未接触,高,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒561-0857,服部ライフサポート
C000018,清掃,株式会社三共ハウステック,管理会社,大阪府,豊中市,豊中市北条町2丁目6番1号,,,,,,,,,,未接触,高,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒561-0812,三共ハウステック
C000019,清掃,生和アメニティ（株）,管理会社,大阪府,豊中市,大阪府豊中市岡上の町3丁目7-1TAOビルディング6F,,,,,,,,https://www.seiwa-amenity.jp,,未接触,高,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒560-0023,生和アメニティ
C000020,清掃,（株）恒和殖産,管理会社,大阪府,豊中市,大阪府豊中市東豊中町4丁目1-16,,,,,,,,https://apamanshop.info,,未接触,高,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒560-0003,恒和殖産
C000021,清掃,（株）ＥＡＳＴコーポレーション,管理会社,大阪府,豊中市,大阪府豊中市中桜塚4丁目13ー13,,,,,,,,https://www.east-net.jp,,未接触,高,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒561-0881,EASTコーポレーション
C000022,清掃,アセットテクノロジー（株）,管理会社,大阪府,大阪市北区,大阪府大阪市北区浪花町12-24赤坂天六ビル8F,,,,,,,,https://assettech.co.jp,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒530-0022,アセットテクノロジー
C000023,清掃,イーカンパニー（株）,管理会社,大阪府,大阪市北区,大阪府大阪市北区天満4丁目9-13CASA Asteria tenma2F,,,,,,,,,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒530-0043,イーカンパニー
C000024,清掃,エスリード賃貸（株）,管理会社,大阪府,大阪市北区,大阪府大阪市北区西天満2丁目6-8堂島ビル2F,,,,,,,,https://www.eslead-chintai.co.jp,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒530-0047,エスリード賃貸
C000025,清掃,ダイアログ（株）,管理会社,大阪府,大阪市北区,大阪府大阪市北区天満2丁目1-12天満橋SEビル3階,,,,,,,,https://dialog14.co.jp,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒530-0043,ダイアログ
C000026,清掃,モンステラ（株）,管理会社,大阪府,大阪市北区,大阪府大阪市北区西天満2丁目8-5西天満大治ビル2F,,,,,,,,https://kanrisu.space,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒530-0047,モンステラ
C000027,清掃,リップル興産（株）,管理会社,大阪府,大阪市北区,大阪府大阪市北区梅田1丁目3-1大阪駅前第一ビル5階,,,,,,,,https://www.ripplu.jp,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒530-0001,リップル興産
C000028,清掃,新興ビルサービス（株）,管理会社,大阪府,大阪市北区,大阪府大阪市北区天神橋3丁目2-8,,,,,,,,https://shinko-e.com,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒530-0041,新興ビルサービス
C000029,清掃,日本住宅流通株式会社,管理会社,大阪府,大阪市北区,大阪市北区梅田1-1-3-800大阪駅前第3ビル8階,,,,,,,,,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒530-0001,日本住宅流通
C000030,清掃,東商ハウス株式会社,管理会社,大阪府,大阪市北区,大阪市北区梅田1-3-100,,,,,,,,,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒561-0872,東商ハウス
C000031,清掃,池屋住宅（株）,管理会社,大阪府,大阪市北区,大阪府大阪市北区中崎西4丁目3-32ARCA梅田ビル3F,,,,,,,,https://www.ikeyanet.co.jp,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒530-0015,池屋住宅
C000032,清掃,積水ハウスグループ,管理会社,大阪府,大阪市北区,大阪市北区大淀中1丁目1-88梅田スカイビルタワーイースト,,,,,,,,,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒531-0076,積水ハウスグループ
C000033,清掃,馬場ハウス工業（株）,管理会社,大阪府,大阪市北区,大阪府大阪市北区芝田1丁目1-4阪急ターミナルビル14階,,,,,,,,https://www.baba-house.com,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒530-0012,馬場ハウス工業
C000034,清掃,（有）メリーグロー,管理会社,大阪府,大阪市北区,大阪府大阪市北区梅田2丁目1-3桜橋御幸ビル12階,,,,,,,,https://www.merrygrow.co.jp,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒530-0001,メリーグロー
C000035,清掃,（有）野島商事,管理会社,大阪府,大阪市北区,大阪府大阪市北区豊崎3丁目19-3ピアスタワー14階,,,,,,,,https://www.koueishouji.com,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒531-0072,野島商事
C000036,清掃,（株）きずな,管理会社,大阪府,大阪市北区,大阪府大阪市北区中之島3丁目3-23,,,,,,,,https://kizuna-inc.co.jp,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒530-0005,きずな
C000037,清掃,（株）アフロ,管理会社,大阪府,大阪市北区,大阪府大阪市北区中津1丁目11-1中津センタービル9階,,,,,,,,https://www.aflo-net.com,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒531-0071,アフロ
C000038,清掃,（株）インベスターズジャパン,管理会社,大阪府,大阪市北区,大阪府大阪市北区浪花町10ー14メゾン・ド・ゴトウ1階,,,,,,,,https://investorsjapan.com,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒530-0022,インベスターズジャパン
C000039,清掃,（株）エスティライフ,管理会社,大阪府,大阪市北区,大阪府大阪市北区紅梅町1-18エルゴ1F,,,,,,,,https://www.estylife.com,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒530-0038,エスティライフ
C000040,清掃,（株）エステムプランニング,管理会社,大阪府,大阪市北区,大阪府大阪市北区西天満5丁目2ー18三共ビル東館4階,,,,,,,,https://www.estem-p.co.jp,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒530-0047,エステムプランニング
C000041,清掃,（株）エヌアンドエスファシリティ,管理会社,大阪府,大阪市北区,大阪府大阪市北区大淀南1丁目5-1ケイヒン梅田ビル,,,,,,,,,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒531-0075,エヌアンドエスファシリティ
C000042,清掃,（株）サンエース,管理会社,大阪府,大阪市北区,大阪府大阪市北区大淀南1丁目9-10,,,,,,,,https://www.sar.co.jp,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒531-0075,サンエース
C000043,清掃,（株）サンプロシード,管理会社,大阪府,大阪市北区,大阪府大阪市北区梅田1丁目2ー2-1400大阪駅前第2ビル,,,,,,,,https://www.s-proceed.co.jp,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒530-0001,サンプロシード
C000044,清掃,（株）ダイワライセット,管理会社,大阪府,大阪市北区,大阪府大阪市北区梅田3丁目3ー5大和ハウス大阪ビル8階,,,,,,,,https://daiwa-l.jp,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒530-0001,ダイワライセット
C000045,清掃,（株）ブライトエステート,管理会社,大阪府,大阪市北区,大阪府大阪市北区天満3丁目8-1FH天満ビル,,,,,,,,https://bright-estate.co.jp,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒530-0043,ブライトエステート
C000046,清掃,（株）仲みらい,管理会社,大阪府,大阪市北区,大阪府大阪市北区堂島1丁目6-20堂島アバンザ10階,,,,,,,,https://nakamirai.jp,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒530-0003,仲みらい
C000047,清掃,（株）明星,管理会社,大阪府,大阪市北区,大阪府大阪市北区鶴野町3-23,,,,,,,,https://www.meisei.org,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒530-0014,明星
C000048,清掃,（株）ＬＩＮＯＡ,管理会社,大阪府,大阪市北区,大阪府大阪市北区堂山町3-3日本生命梅田ビル10階,,,,,,,,,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒530-0027,LINOA
C000049,清掃,（株）Ｒ－ＪＡＰＡＮ,管理会社,大阪府,大阪市北区,大阪府大阪市北区浪花町12-24赤坂天六ビル8F,,,,,,,,https://r-japan.co.jp,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒530-0022,R-JAPAN
C000050,清掃,（株）ＳＥＶＥＮ,管理会社,大阪府,大阪市北区,大阪府大阪市北区大淀中1丁目1-30梅田スカイビルタワーウエスト25階,,,,,,,,,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒531-6125,SEVEN
C000051,清掃,ＪＲ西日本住宅サービス（株）,管理会社,大阪府,大阪市北区,大阪府大阪市北区浪花町1-19新興ビル,,,,,,,,,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒530-0022,JR西日本住宅サービス
C000052,清掃,有限会社アットハウジング,管理会社,大阪府,大阪市東淀川区,大阪市東淀川区豊新3-5-27,,,,,,,,,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒533-0014,アットハウジング
C000053,清掃,（株）レンタルハウス南大阪,管理会社,大阪府,大阪市東淀川区,大阪府大阪市東淀川区豊里2丁目25-8プール・トゥジュール ラ フルーレ オフィス棟2F,,,,,,,,https://www.rh-minamiosaka.co.jp,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒533-0013,レンタルハウス南大阪
C000054,清掃,グリーン・ルーム（株）,管理会社,大阪府,大阪市淀川区,大阪府大阪市淀川区西中島5丁目11-19キムラビル4F,,,,,,,,https://www.green-room-inc.co.jp,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒532-0011,グリーン・ルーム
C000055,清掃,三成建設株式会社,管理会社,大阪府,大阪市淀川区,大阪市淀川区木川西3-4-25,,,,,,,,,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒532-0013,三成建設
C000056,清掃,大和ハウスリアルエステート（株）,管理会社,大阪府,大阪市淀川区,大阪府大阪市淀川区西中島3丁目5-9西中島NTビル7F,,,,,,,,https://www.dh-realestate.co.jp,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒532-0011,大和ハウスリアルエステート
C000057,清掃,江坂リアルティ（株）,管理会社,大阪府,大阪市淀川区,大阪府大阪市淀川区宮原1丁目1-38,,,,,,,,https://www.esaka-realty.com,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒532-0003,江坂リアルティ
C000058,清掃,（有）レント管理,管理会社,大阪府,大阪市淀川区,大阪府大阪市淀川区西中島5丁目7-14,,,,,,,,https://www.rentkanri.com,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒532-0011,レント管理
C000059,清掃,（株）アズ・スタット,管理会社,大阪府,大阪市淀川区,大阪府大阪市淀川区東三国2丁目37-3,,,,,,,,https://www.az-stat.com,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒532-0002,アズ・スタット
C000060,清掃,（株）インベストメントエージェント,管理会社,大阪府,大阪市淀川区,大阪府大阪市淀川区東三国2丁目19-14パークス東三国1F,,,,,,,,https://investmentagent.co.jp,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒532-0002,インベストメントエージェント
C000061,清掃,（株）タスシステム,管理会社,大阪府,大阪市淀川区,大阪府大阪市淀川区西中島4丁目3-21NLCセントラルビル404,,,,,,,,https://www.tassystem.net,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒532-0011,タスシステム
C000062,清掃,（株）ファイブ管理,管理会社,大阪府,大阪市淀川区,大阪府大阪市淀川区東三国5丁目2-9,,,,,,,,https://5kanri.com,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒532-0002,ファイブ管理
C000063,清掃,（株）プラネットコーポレーション,管理会社,大阪府,大阪市淀川区,大阪府大阪市淀川区西中島5丁目5-15新大阪セントラルタワー南館5階,,,,,,,,https://www.planet-cp.com,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒532-0011,プラネットコーポレーション
C000064,清掃,（株）ＪＳＣ,管理会社,大阪府,大阪市淀川区,大阪府大阪市淀川区宮原3丁目5-24新大阪第一生命ビルディング5階,,,,,,,,https://jsc-kanri.com,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒532-0003,JSC
C000065,清掃,（株）Ｔ’ｓマネジメント,管理会社,大阪府,大阪市淀川区,大阪府大阪市淀川区東三国5丁目7-4オークエスト2F,,,,,,,,https://ts-management-co.com,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒532-0002,T’sマネジメント
C000066,清掃,（株）ＴＡＫＵＴＯ,管理会社,大阪府,大阪市淀川区,大阪府大阪市淀川区新北野1丁目2-13明治安田生命十三ビル,,,,,,,,https://www.takuto-group.com,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒532-0025,TAKUTO
C000067,清掃,生和コーポレーション株式会社,管理会社,大阪府,大阪市福島区,大阪市福島区福島5-8-1,,,,,,,,,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒664-0851,生和コーポレーション
C000068,清掃,（株）コスモ,管理会社,大阪府,大阪市福島区,大阪府大阪市福島区福島7丁目14-18,,,,,,,,https://www.homemate-keihan.com,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒553-0003,コスモ
C000069,清掃,相互不動産（株）,管理会社,大阪府,大阪市都島区,大阪府大阪市都島区片町1丁目5-13大手前センチュリービル9F,,,,,,,,https://www.sogo2103.com,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒534-0025,相互不動産
C000070,清掃,髙松エステート（株）,管理会社,大阪府,大阪市都島区,大阪府大阪市都島区都島本通1丁目4-20,,,,,,,,https://www.takamatsuestate.jp,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒534-0021,髙松エステート
C000071,清掃,協同グループ,管理会社,大阪府,摂津市,摂津市千里丘東3-7-27,,,,,,,,,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒566-0011,協同グループ
C000072,清掃,総和建設（株）,管理会社,大阪府,摂津市,大阪府摂津市千里丘東2丁目10-1,,,,,,,,https://www.2ways.co.jp,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒566-0011,総和建設
C000073,清掃,レント建物管理（有）,管理会社,大阪府,茨木市,大阪府茨木市舟木町3-6,,,,,,,,https://www.r-tk.com,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒567-0828,レント建物管理
C000074,清掃,株式会社オノデラ建設,管理会社,大阪府,茨木市,茨木市小柳町10-17,,,,,,,,,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒567-0852,オノデラ建設
C000075,清掃,株式会社光徳,管理会社,大阪府,茨木市,茨木市駅前4-1-23,,,,,,,,,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒567-0888,光徳
C000076,清掃,（株）センチュリーダイソー,管理会社,大阪府,茨木市,大阪府茨木市若園町35-9ー503,,,,,,,,https://www.century-daiso.jp,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒567-0894,センチュリーダイソー
C000077,清掃,（株）ラックハウジング,管理会社,大阪府,茨木市,大阪府茨木市双葉町4-15ホワイトボックス2階,,,,,,,,https://www.luckhousing.info,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒567-0829,ラックハウジング
C000078,清掃,（株）レンタックス,管理会社,大阪府,茨木市,大阪府茨木市水尾4丁目1-27,,,,,,,,https://www.rentax.co.jp,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒567-0891,レンタックス
C000079,清掃,（株）三つ葉,管理会社,大阪府,茨木市,大阪府茨木市駅前3丁目2-2,,,,,,,,,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒567-0888,三つ葉
C000080,清掃,（株）関西建設,管理会社,大阪府,茨木市,大阪府茨木市舟木町2-1シャトー黒田ビル,,,,,,,,https://www.kanken-g.jp,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒567-0828,関西建設
C000081,清掃,（株）日本ヴェルテック,管理会社,大阪府,高槻市,大阪府高槻市宮之川原5丁目23ー9,,,,,,,,https://vertex-j.com,,未接触,中,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒569-1032,日本ヴェルテック
C000082,清掃,（株）デイグラン,管理会社,京都府,京都市南区,京都府京都市南区吉祥院井ノ口町37-13,,,,,,,,https://www.day-gran.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒601-8314,デイグラン
C000083,清掃,プロパゲート（株）,管理会社,三重県,伊賀市,三重県伊賀市服部町470-7,,,,,,,,https://propergate.net,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒518-0007,プロパゲート
C000084,清掃,日建産業（株）,管理会社,大阪府,八尾市,大阪府八尾市久宝寺6丁目8-1,,,,,,,,https://www.nikken-sangyo.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒581-0072,日建産業
C000085,清掃,近藤プロパティ（株）　賃貸管理本部,管理会社,大阪府,八尾市,大阪府八尾市光南町1丁目6-7コスモビル1F,,,,,,,,https://www.kondoproperty.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒581-0007,近藤プロパティ賃貸管理本部
C000086,清掃,（有）ワンダーランド,管理会社,大阪府,八尾市,大阪府八尾市東本町3丁目9-36板倉ビル1階,,,,,,,,https://0120720901.com,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒581-0004,ワンダーランド
C000087,清掃,星和リアルティ（株）,管理会社,東京都,千代田区,東京都千代田区神田淡路町1丁目3生和淡路町駅上ビル,,,,,,,,https://www.seiwarealty.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒101-0063,星和リアルティ
C000088,清掃,（株）エスタス管財,管理会社,三重県,名張市,三重県名張市夏見291,,,,,,,,https://www.s-tus.co.jp,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒518-0441,エスタス管財
C000089,清掃,日本伍洋（株）,管理会社,大阪府,堺市中区,大阪府堺市中区東山1114,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒599-8247,日本伍洋
C000090,清掃,株式会社セントラルホーム,管理会社,大阪府,堺市北区,堺市北区中百舌鳥町2-54,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 全国賃貸住宅新聞 全国管理会社データブック（大阪府） / 〒591-8023,セントラルホーム
C000091,清掃,（株）エクステンド,管理会社,大阪府,堺市北区,大阪府堺市北区長曽根町10柳生第二ビル2階,,,,,,,,,,未接触,低,FALSE,,業界団体名簿,2026-09-12,,,,JPM大阪府支部 正会員一覧 / 〒591-8025,エクステンド
