会社名,業種,所在地（市区町村まで）,電話（会社代表番号のみ）,公式URL,車両台数または重機台数（公開されていれば）,想定燃料,情報源URL,取得日,備考
田中運輸株式会社,運送業,兵庫県尼崎市（大島）,06-6695-7459,https://www.tanakaunyu0711.com/,,軽油,https://map.yahoo.co.jp/v3/place/_3u6sTIEOa-,2026-09-11,大型・小型・ポールトレーラー（別サイト tanakaunyu.jimdofree.com）。大島倉庫あり。台数未公開
北港運輸株式会社,運送業,大阪府大阪市此花区（春日出北）,,http://www.hokkohu.co.jp/,495台（トレーラー34・トラクター33・大型178・4t 45・2t以下21・フォーク184）,軽油,http://www.hokkohu.co.jp/company/,2026-09-11,1924年創業・従業員450名。大規模のため自家給油設備保有の可能性が高い（未確認）。電話は代表番号を未確認（西大阪支店 06-6471-1341 のみ検索で表示）
大阪此花運送株式会社,運送業,大阪府大阪市西淀川区（福町）,06-6473-2031,https://www.osakakonohana.co.jp/,,軽油,https://www.osakakonohana.co.jp/company/,2026-09-11,1943年設立・資本金7000万円・従業員41人。貨物自動車運送・倉庫業。台数未公開
大阪運輸倉庫株式会社,運送業,大阪府大阪市旭区（赤川）,,https://ousgrp.co.jp/,,軽油,https://ousgrp.co.jp/company/outline/,2026-09-11,1944年設立・従業員550名。鶴見営業所（鶴見区焼野）ほか京都・河内長野等に拠点。台数未公開
南港運輸株式会社,運送業,大阪府大阪市住之江区（柴谷）,,,13台,軽油,https://hakopro.jp/company/30258,2026-09-11,資本金1800万円・1982年創業・従業員14名（ハコプロ検索要約）。公式URL未確認
南港重量運輸株式会社,運送業,大阪府大阪市住之江区（平林南）,06-6681-7800,http://n-j-c.com/,,軽油,http://n-j-c.com/company.html,2026-09-11,重量物運送。台数未公開
大阪運輸株式会社（大阪南港エリア拠点）,運送業,大阪府大阪市此花区（北港緑地）,06-4804-6200,https://www.osakaunyu.jp/,,軽油,https://www.osakaunyu.jp/about/office.html,2026-09-11,本社所在地は未確認（泉大津市新港町の拠点も掲載）。此花区は拠点の電話番号
株式会社西川運輸本社,運送業,大阪府大阪市大正区,,,9台,軽油,https://hakopro.jp/company/29925,2026-09-11,保有9台で閾値（10台）未満。参考掲載
大道商事株式会社,建設・解体・産廃,兵庫県尼崎市（西高洲町）,06-6416-0818,http://ohmichi.info/,,軽油,http://www.ohmichi.org/company.html,2026-09-11,1949年設立。解体工事・金属スクラップ・産廃収集運搬処分。自社中間処理工場「東浜リサイクルセンター」。重機台数未公開
中村興業株式会社,建設・解体・産廃,兵庫県尼崎市,,https://www.nakamura-kougyou.co.jp/,,軽油,https://www.nakamura-kougyou.co.jp/contents/company/,2026-09-11,平成17年創業。建造物解体・土木・産廃収集運搬。電話・重機台数は検索で未確認
株式会社K-Recks,建設・解体・産廃,兵庫県神戸市西区（池上）,078-806-8712,https://www.k-recks.com/,,軽油,https://www.crassone.jp/constructors/477,2026-09-11,2019年設立・資本金900万円。家屋・内装解体。重機で解体し廃材搬出。小規模のため数量は限定的の可能性
株式会社HIRAYAMA,建設・解体・産廃,大阪府大阪市中央区（高麗橋）,,https://www.hirayama-g.com/,,軽油,https://www.hirayama-g.com/business/refuse,2026-09-11,解体〜産廃収集運搬〜中間処理〜リサイクル一貫。京都市伏見区にも拠点。本社は事務所ビルのため重機・車両の車庫所在地は要確認
株式会社明進清掃,建設・解体・産廃,兵庫県明石市,,https://www.meishin-inc.co.jp/,,軽油,https://www.meishin-inc.co.jp/vehicle/,2026-09-11,事業ごみ定期回収・産業廃棄物処理。公式サイトに保有車両ページあり（台数は未取得）。電話未確認
イワサバス株式会社,バス事業者,兵庫県尼崎市（水堂町）,06-6437-2307,,,軽油,https://www.hyogobus.or.jp/member/iwasa/,2026-09-11,貸切バス。1962年創業・1964年バス事業参入。台数未公開
みなと観光バス株式会社,バス事業者,兵庫県神戸市東灘区（向洋町東）,078-845-3710,https://www.kobe-minato.co.jp/,,軽油,https://www.kobe-minato.co.jp/company.html,2026-09-11,貸切・コミュニティバス。台数未公開
阪神バス株式会社（尼崎営業所）,バス事業者,兵庫県尼崎市（大庄川田町）,06-6416-1351,https://www.hanshin-bus.co.jp/,,軽油,https://www.hanshin-bus.co.jp/contact/contact.html,2026-09-11,路線・貸切。西宮浜営業所 0798-23-3270、塚口営業所 06-6429-5721。大手のため自家給油設備保有の可能性が高い（未確認）
尼崎交通事業振興株式会社,バス事業者,兵庫県尼崎市（東塚口町）,,,,軽油,https://www.mapion.co.jp/phonebook/M12014/28204/,2026-09-11,電話・台数未確認。阪神バスグループの可能性（未確認）
滋賀観光バス株式会社 大阪営業所,バス事業者,大阪府大阪市平野区（加美北）,06-6752-8111,,,軽油,https://baseconnect.in/branch_offices/c87ed4ca-d898-4239-a913-e471ec279e8a,2026-09-11,本社は滋賀県甲賀市。営業所の台数未公開
ケイ・エス・エバーグリーン観光株式会社,バス事業者,大阪府大阪市西区（立売堀）,06-6533-2868,http://www.ks-evergreen.co.jp/,,軽油,https://baseconnect.in/companies/5b71a764-67ec-42e2-bfa3-9d4f5d46867f,2026-09-11,貸切バス専業。所在地は事務所ビル（車庫所在地は要確認）。台数未公開
大阪バス株式会社,バス事業者,大阪府東大阪市（高井田中）,06-4308-0800,https://www.osakabus.jp/,130台,軽油,https://www.osakabus.jp/corporate/,2026-09-11,本社は優先商圏外（東大阪）。神戸営業所・京都営業所あり。路線・高速・貸切。2001年設立・従業員190名
株式会社神戸北交通,バス事業者,兵庫県神戸市北区,,https://kobekitakotsu.com/,,軽油,https://www.bus-trip.jp/agent/hyougo/kobekita,2026-09-11,15〜20名乗りの小型バス中心。数量は限定的の可能性。電話未確認
株式会社白龍堂 関西支店・尼崎工場,A重油ボイラーの工場（候補）,兵庫県尼崎市（南初島）,0120-678-067,https://hakuryudo.co.jp/,,A重油（未確認）,https://hakuryudo.co.jp/base-2021/,2026-09-11,ユニフォームレンタル・クリーニング工場。ボイラー燃料の種類は未確認（ガスの可能性あり）。電話はフリーダイヤルのみ確認
トーヨークリーニング 大淀工場,A重油ボイラーの工場（候補）,大阪府大阪市北区（大淀中）,06-6453-0104,https://www.toyo-cl.jp/,,A重油（未確認）,https://www.toyo-cl.jp/aboutus/factory.html,2026-09-11,ホテル・業務用クリーニング工場。ボイラー燃料の種類は未確認
日本製粉株式会社 神戸甲南工場,A重油ボイラーの工場（候補）,兵庫県神戸市,078-452-3191,,,A重油（未確認）,https://www.mapion.co.jp/phonebook/M26032/28101/22830055676/,2026-09-11,大手製粉工場。燃料種別・調達ルート未確認（本社一括調達の可能性が高い）。区は未確認
ウタツヤドライクリーニング工場,A重油ボイラーの工場（候補）,兵庫県尼崎市（上坂部）,,,,A重油（未確認）,https://www.mapion.co.jp/phonebook/M10031/28202/,2026-09-11,電話・法人名・ボイラー燃料未確認
